🕘️更新时间,#genre#
江门综合,http://125.89.163.44:8888/rtp/239.77.0.195:5146$本地源
江门侨乡生活,http://14.112.86.85:4022/udp/239.77.0.202:5146$订阅源-1920x1080
江门侨乡生活,http://120.77.205.62:8087/rtp/239.77.0.202:5146$组播源
江门侨乡生活,http://125.89.163.44:8888/rtp/239.77.0.196:5146$本地源
佛山综合,http://14.112.86.85:4022/udp/239.253.43.57:5146$订阅源-1920x1080
佛山综合,http://120.77.205.62:8087/rtp/239.253.43.52:5146$组播源
佛山综合,http://125.89.163.44:8888/rtp/239.253.43.52:5146$本地源
佛山公共,http://14.112.86.85:4022/udp/239.253.43.53:5146$订阅源-1920x1080
佛山公共,http://qjrhc.jydjd.top:2911/udp/224.1.100.134:11111$订阅源-1920x1080
佛山公共,http://125.89.163.44:8888/rtp/239.253.43.48:5146$本地源
佛山影视,http://14.112.86.85:4022/udp/239.253.43.56:5146$订阅源-1920x1080
佛山影视,http://125.89.163.44:8888/rtp/239.253.43.51:5146$本地源
深圳卫视,http://14.112.86.85:4022/rtp/239.77.0.130:5146$广东电信组播源-1920x1080
深圳卫视,http://112.255.69.58:6666/rtp/239.253.254.91:8000$山东联通组播源-1920x1080
深圳卫视,http://123.113.187.204:8000/udp/239.3.1.134:8020$订阅源-1920x1080
深圳卫视,http://123.157.31.182:7912/rtp/233.50.201.101:5140$浙江联通组播源-1920x1080
深圳卫视,http://114.240.224.31:3000/rtp/239.3.1.134:8020$北京联通组播源-1920x1080

央视频道,#genre#
CCTV-1,http://14.112.86.85:4022/rtp/239.77.0.129:5146$广东电信组播源-1920x1080
CCTV-1,http://112.255.69.58:6666/rtp/239.253.254.77:8000$山东联通组播源-1920x1080
CCTV-1,http://123.113.187.204:8000/udp/239.3.1.129:8008$订阅源-1920x1080
CCTV-1,http://123.157.31.182:7912/rtp/233.50.201.118:5140$浙江联通组播源-1920x1080
CCTV-1,http://114.246.181.146:4022/rtp/239.3.1.129:8008$组播源-1920x1080
CCTV-2,http://14.112.86.85:4022/rtp/239.253.43.17:5146$广东电信组播源-1920x1080
CCTV-2,http://112.255.69.58:6666/rtp/239.253.254.232:8000$山东联通组播源-1920x1080
CCTV-2,http://123.113.187.204:8000/rtp/239.3.1.60:8084$组播源-1920x1080
CCTV-2,http://123.157.31.182:7912/rtp/233.50.201.119:5140$浙江联通组播源-1920x1080
CCTV-2,http://114.246.181.146:4022/rtp/239.3.1.60:8084$组播源-1920x1080
CCTV-3,http://183.255.10.90:6610/200000001898/460000089800010212/1.m3u8?IASHttpSessionId=OTT$订阅源-1920x1080
CCTV-3,http://112.255.69.58:6666/rtp/239.253.254.191:8000$山东联通组播源-1920x1080
CCTV-3,http://123.113.187.204:8000/udp/239.3.1.172:8001$订阅源-1920x1080
CCTV-3,http://123.157.31.182:7912/rtp/233.50.201.196:5140$浙江联通组播源-1920x1080
CCTV-3,http://114.246.181.146:4022/rtp/239.3.1.172:8001$组播源-1920x1080
CCTV-4,http://112.255.69.58:6666/rtp/239.253.254.187:8000$山东联通组播源-1920x1080
CCTV-4,http://123.113.187.204:8000/udp/239.3.1.213:4220$订阅源-1920x1080
CCTV-4,http://123.157.31.182:7912/rtp/233.50.201.4:5140$浙江联通组播源-1920x1080
CCTV-4,http://114.246.181.146:4022/rtp/239.3.1.105:8092$组播源-1920x1080
CCTV-4,http://114.240.224.31:3000/rtp/239.3.1.105:8092$北京联通组播源-1920x1080
CCTV-5,http://112.255.69.58:6666/rtp/239.253.254.192:8000$山东联通组播源-1920x1080
CCTV-5,http://123.113.187.204:8000/udp/239.3.1.173:8001$订阅源-1920x1080
CCTV-5,http://123.157.31.182:7912/rtp/233.50.201.197:5140$浙江联通组播源-1920x1080
CCTV-5,http://114.246.181.146:4022/rtp/239.3.1.173:8001$组播源-1920x1080
CCTV-5,http://114.240.224.31:3000/rtp/239.3.1.173:8001$北京联通组播源-1920x1080
CCTV-5+,http://14.112.86.85:4022/rtp/239.77.1.147:5146$广东电信组播源-1920x1080
CCTV-5+,http://125.82.171.210:8888/udp/235.254.199.121:7980$订阅源-1920x1080
CCTV-5+,http://112.255.69.58:6666/rtp/239.253.254.80:8000$山东联通组播源-1920x1080
CCTV-5+,http://123.113.187.204:8000/udp/239.3.1.130:8004$订阅源-1920x1080
CCTV-5+,http://123.157.31.182:7912/rtp/233.50.201.220:5140$浙江联通组播源-1920x1080
CCTV-6,http://112.255.69.58:6666/rtp/239.253.254.193:8000$山东联通组播源-1920x1080
CCTV-6,http://123.113.187.204:8000/udp/239.3.1.174:8001$订阅源-1920x1080
CCTV-6,http://123.157.31.182:7912/rtp/233.50.201.198:5140$浙江联通组播源-1920x1080
CCTV-6,http://114.246.181.146:4022/rtp/239.3.1.174:8001$组播源-1920x1080
CCTV-6,http://114.240.224.31:3000/rtp/239.3.1.174:8001$北京联通组播源-1920x1080
CCTV-7,http://112.255.69.58:6666/rtp/239.253.254.233:8000$山东联通组播源-1920x1080
CCTV-7,http://123.113.187.204:8000/udp/239.3.1.61:8104$订阅源-1920x1080
CCTV-7,http://123.157.31.182:7912/rtp/233.50.201.120:5140$浙江联通组播源-1920x1080
CCTV-7,http://114.246.181.146:4022/rtp/239.3.1.61:8104$组播源-1920x1080
CCTV-7,http://114.240.224.31:3000/rtp/239.3.1.61:8104$北京联通组播源-1920x1080
CCTV-8,http://112.255.69.58:6666/rtp/239.253.254.194:8000$山东联通组播源-1920x1080
CCTV-8,http://123.113.187.204:8000/udp/239.3.1.175:8001$订阅源-1920x1080
CCTV-8,http://123.157.31.182:7912/rtp/233.50.201.199:5140$浙江联通组播源-1920x1080
CCTV-8,http://114.246.181.146:4022/rtp/239.3.1.175:8001$组播源-1920x1080
CCTV-8,http://114.240.224.31:3000/rtp/239.3.1.175:8001$北京联通组播源-1920x1080
CCTV-9,http://112.255.69.58:6666/rtp/239.253.254.79:8000$山东联通组播源-1920x1080
CCTV-9,http://123.113.187.204:8000/udp/239.3.1.62:8112$订阅源-1920x1080
CCTV-9,http://123.157.31.182:7912/rtp/233.50.201.121:5140$浙江联通组播源-1920x1080
CCTV-9,http://114.246.181.146:4022/rtp/239.3.1.62:8112$组播源-1920x1080
CCTV-9,http://114.240.224.31:3000/rtp/239.3.1.62:8112$北京联通组播源-1920x1080
CCTV-10,http://112.255.69.58:6666/rtp/239.253.254.234:8000$山东联通组播源-1920x1080
CCTV-10,http://123.113.187.204:8000/udp/239.3.1.63:8116$订阅源-1920x1080
CCTV-10,http://123.157.31.182:7912/rtp/233.50.201.122:5140$浙江联通组播源-1920x1080
CCTV-10,http://114.246.181.146:4022/rtp/239.3.1.63:8116$组播源-1920x1080
CCTV-10,http://114.240.224.31:3000/rtp/239.3.1.63:8116$北京联通组播源-1920x1080
CCTV-11,http://112.255.69.58:6666/rtp/239.253.254.169:8000$山东联通组播源-1920x1080
CCTV-11,http://123.113.187.204:8000/rtp/239.3.1.152:8120$组播源-1920x1080
CCTV-11,http://123.157.31.182:7912/rtp/233.50.201.11:5140$浙江联通组播源-1920x1080
CCTV-11,http://114.246.181.146:4022/rtp/239.3.1.152:8120$组播源-1920x1080
CCTV-11,http://114.240.224.31:3000/rtp/239.3.1.152:8120$北京联通组播源-1920x1080
CCTV-12,http://112.255.69.58:6666/rtp/239.253.254.235:8000$山东联通组播源-1920x1080
CCTV-12,http://123.113.187.204:8000/rtp/239.3.1.64:8124$组播源-1920x1080
CCTV-12,http://123.157.31.182:7912/rtp/233.50.201.123:5140$浙江联通组播源-1920x1080
CCTV-12,http://114.246.181.146:4022/rtp/239.3.1.64:8124$组播源-1920x1080
CCTV-12,http://114.240.224.31:3000/rtp/239.3.1.64:8124$北京联通组播源-1920x1080
CCTV-13,http://14.112.86.85:4022/rtp/239.253.43.196:5146$广东电信组播源-1920x1080
CCTV-13,http://112.255.69.58:6666/rtp/239.253.254.175:8000$山东联通组播源-1920x1080
CCTV-13,http://123.113.187.204:8000/udp/239.3.1.124:8128$订阅源-1920x1080
CCTV-13,http://123.157.31.182:7912/rtp/233.50.201.246:5140$浙江联通组播源-1920x1080
CCTV-13,http://114.246.181.146:4022/rtp/239.3.1.124:8128$组播源-1920x1080
CCTV-14,http://112.255.69.58:6666/rtp/239.253.254.236:8000$山东联通组播源-1920x1080
CCTV-14,http://123.113.187.204:8000/rtp/239.3.1.65:8132$组播源-1920x1080
CCTV-14,http://123.157.31.182:7912/rtp/233.50.201.124:5140$浙江联通组播源-1920x1080
CCTV-14,http://114.246.181.146:4022/rtp/239.3.1.65:8132$组播源-1920x1080
CCTV-14,http://114.240.224.31:3000/rtp/239.3.1.65:8132$北京联通组播源-1920x1080
CCTV-15,http://112.255.69.58:6666/rtp/239.253.254.170:8000$山东联通组播源-1920x1080
CCTV-15,http://123.113.187.204:8000/rtp/239.3.1.153:8136$组播源-1920x1080
CCTV-15,http://123.157.31.182:7912/rtp/233.50.201.15:5140$浙江联通组播源-1920x1080
CCTV-15,http://114.246.181.146:4022/rtp/239.3.1.153:8136$组播源-1920x1080
CCTV-15,http://114.240.224.31:3000/rtp/239.3.1.153:8136$北京联通组播源-1920x1080
CCTV-16,http://majian.ixiaobai.net:5540/udp/239.37.1.22:5540?$订阅源-3840x2160
CCTV-16,http://123.113.187.204:8000/udp/239.3.1.184:8001$订阅源-1920x1080
CCTV-16,http://123.157.31.182:7912/rtp/233.50.201.192:5140$浙江联通组播源-1920x1080
CCTV-16,http://114.246.181.146:4022/rtp/239.3.1.183:8001$组播源-1920x1080
CCTV-16,http://114.240.224.31:3000/rtp/239.3.1.183:8001$北京联通组播源-1920x1080
CCTV-17,http://112.255.69.58:6666/rtp/239.253.254.168:8000$山东联通组播源-1920x1080
CCTV-17,http://123.113.187.204:8000/udp/239.3.1.151:8144$订阅源-1920x1080
CCTV-17,http://123.157.31.182:7912/rtp/233.50.201.35:5140$浙江联通组播源-1920x1080
CCTV-17,http://114.246.181.146:4022/rtp/239.3.1.151:8144$组播源-1920x1080
CCTV-17,http://114.240.224.31:3000/rtp/239.3.1.151:8144$北京联通组播源-1920x1080

卫视频道,#genre#
广东卫视,http://112.255.69.58:6666/rtp/239.253.254.90:8000$山东联通组播源-1920x1080
广东卫视,http://123.113.187.204:8000/udp/239.3.1.142:8048$订阅源-1920x1080
广东卫视,http://123.157.31.182:7912/rtp/233.50.201.102:5140$浙江联通组播源-1920x1080
广东卫视,http://114.240.224.31:3000/rtp/239.3.1.142:8048$北京联通组播源-1920x1080
广东卫视,http://49.79.3.119:8890/rtp/239.49.8.143:6000$江苏电信组播源-1920x1080
浙江卫视,http://zhfivel02.cztv.com/channel01/1080p.m3u8?auth_key=2524708799-0-0-adde67b1b344fdd5e512f30a4ae31915$订阅源-1920x1080
浙江卫视,http://14.112.86.85:4022/rtp/239.77.0.125:5146$广东电信组播源-1920x1080
浙江卫视,http://112.255.69.58:6666/rtp/239.253.254.84:8000$山东联通组播源-1920x1080
浙江卫视,http://123.113.187.204:8000/udp/239.3.1.137:8036$订阅源-1920x1080
浙江卫视,http://123.157.31.182:7912/rtp/233.50.201.100:5140$浙江联通组播源-1920x1080
湖南卫视,http://14.112.86.85:4022/rtp/239.77.0.127:5146$广东电信组播源-1920x1080
湖南卫视,http://112.255.69.58:6666/rtp/239.253.254.82:8000$山东联通组播源-1920x1080
湖南卫视,http://123.113.187.204:8000/rtp/239.3.1.132:8012$组播源-1920x1080
湖南卫视,http://123.157.31.182:7912/rtp/233.50.201.103:5140$浙江联通组播源-1920x1080
湖南卫视,http://114.240.224.31:3000/rtp/239.3.1.132:8012$北京联通组播源-1920x1080
北京卫视,http://14.112.86.85:4022/rtp/239.77.1.14:5146$广东电信组播源-1920x1080
北京卫视,http://112.255.69.58:6666/rtp/239.253.254.85:8000$山东联通组播源-1920x1080
北京卫视,http://123.113.187.204:8000/rtp/239.3.1.241:8000$组播源-1920x1080
北京卫视,http://123.157.31.182:7912/rtp/233.50.201.107:5140$浙江联通组播源-1920x1080
北京卫视,http://49.79.3.119:8890/rtp/239.49.8.141:6000$江苏电信组播源-1920x1080
湖北卫视,http://14.112.86.85:4022/rtp/239.77.0.128:5146$广东电信组播源-1920x1080
湖北卫视,http://112.255.69.58:6666/rtp/239.253.254.88:8000$山东联通组播源-1920x1080
湖北卫视,http://123.113.187.204:8000/udp/239.3.1.138:8044$订阅源-1920x1080
湖北卫视,http://123.157.31.182:7912/rtp/233.50.201.114:5140$浙江联通组播源-1920x1080
湖北卫视,http://114.240.224.31:3000/rtp/239.3.1.138:8044$北京联通组播源-1920x1080
黑龙江卫视,http://14.112.86.85:4022/rtp/239.77.0.124:5146$广东电信组播源-1920x1080
黑龙江卫视,http://112.255.69.58:6666/rtp/239.253.254.93:8000$山东联通组播源-1920x1080
黑龙江卫视,http://123.113.187.204:8000/udp/239.3.1.133:8016$订阅源-1920x1080
黑龙江卫视,http://123.157.31.182:7912/rtp/233.50.201.115:5140$浙江联通组播源-1920x1080
黑龙江卫视,http://114.240.224.31:3000/rtp/239.3.1.133:8016$北京联通组播源-1920x1080
安徽卫视,http://14.112.86.85:4022/rtp/239.77.0.183:5146$广东电信组播源-1920x1080
安徽卫视,http://112.255.69.58:6666/rtp/239.253.254.87:8000$山东联通组播源-1920x1080
安徽卫视,http://123.113.187.204:8000/udp/239.3.1.211:8064$订阅源-1920x1080
安徽卫视,http://123.157.31.182:7912/rtp/233.50.201.113:5140$浙江联通组播源-1920x1080
安徽卫视,http://114.240.224.31:3000/rtp/239.3.1.211:8064$北京联通组播源-1920x1080
重庆卫视,http://112.255.69.58:6666/rtp/239.253.254.38:8000$山东联通组播源-1920x1080
重庆卫视,http://123.113.187.204:8000/udp/239.3.1.122:8160$订阅源-1920x1080
重庆卫视,http://123.157.31.182:7912/rtp/233.50.201.143:5140$浙江联通组播源-1920x1080
重庆卫视,http://114.240.224.31:3000/rtp/239.3.1.122:8160$北京联通组播源-1920x1080
重庆卫视,http://49.79.3.119:8890/rtp/239.49.8.149:6000$江苏电信组播源-1920x1080
东方卫视,http://112.255.69.58:6666/rtp/239.253.254.86:8000$山东联通组播源-1920x1080
东方卫视,http://123.113.187.204:8000/udp/239.3.1.136:8032$订阅源-1920x1080
东方卫视,http://123.157.31.182:7912/rtp/233.50.201.125:5140$浙江联通组播源-1920x1080
东方卫视,http://114.240.224.31:3000/rtp/239.3.1.136:8032$北京联通组播源-1920x1080
东方卫视,http://49.79.3.119:8890/rtp/239.49.8.140:6000$江苏电信组播源-1920x1080
东南卫视,http://112.255.69.58:6666/rtp/239.253.254.105:8000$山东联通组播源-1920x1080
东南卫视,http://123.113.187.204:8000/udp/239.3.1.156:8148$订阅源-1920x1080
东南卫视,http://123.157.31.182:7912/rtp/233.50.201.146:5140$浙江联通组播源-1920x1080
东南卫视,http://114.240.224.31:3000/rtp/239.3.1.156:8148$北京联通组播源-1920x1080
东南卫视,http://49.79.3.119:8890/rtp/239.49.8.186:6000$江苏电信组播源-1920x1080
甘肃卫视,rtmp://livein.gstv.com.cn/49048r/y3nga4.flv$订阅源-0x0
甘肃卫视,http://112.255.69.58:6666/rtp/239.253.254.74:8000$山东联通组播源-1920x1080
甘肃卫视,http://123.113.187.204:8000/udp/239.3.1.49:8188$订阅源-1920x1080
甘肃卫视,http://123.157.31.182:7912/rtp/233.50.201.149:5140$浙江联通组播源-1920x1080
甘肃卫视,http://114.240.224.31:3000/rtp/239.3.1.49:8188$北京联通组播源-1920x1080
广西卫视,http://112.255.69.58:6666/rtp/239.253.254.197:8000$山东联通组播源-1920x1080
广西卫视,http://123.113.187.204:8000/udp/239.3.1.39:8300$订阅源-1920x1080
广西卫视,http://123.157.31.182:7912/rtp/233.50.201.49:5140$浙江联通组播源-1920x1080
广西卫视,http://114.240.224.31:3000/rtp/239.3.1.39:8300$北京联通组播源-1920x1080
广西卫视,http://49.79.3.119:8890/rtp/239.49.8.209:6000$江苏电信组播源-1920x1080
贵州卫视,http://112.255.69.58:6666/rtp/239.253.254.113:8000$山东联通组播源-1920x1080
贵州卫视,http://123.113.187.204:8000/udp/239.3.1.149:8076$订阅源-1920x1080
贵州卫视,http://123.157.31.182:7912/rtp/233.50.201.142:5140$浙江联通组播源-1920x1080
贵州卫视,http://114.240.224.31:3000/rtp/239.3.1.149:8076$北京联通组播源-1920x1080
贵州卫视,http://49.79.3.119:8890/rtp/239.49.8.174:6000$江苏电信组播源-1920x1080
海南卫视,http://112.255.69.58:6666/rtp/239.253.254.179:8000$山东联通组播源-1920x1080
海南卫视,http://123.113.187.204:8000/udp/239.3.1.45:8304$订阅源-1920x1080
海南卫视,http://123.157.31.182:7912/rtp/233.50.201.55:5140$浙江联通组播源-1920x1080
海南卫视,http://114.240.224.31:3000/rtp/239.3.1.45:8304$北京联通组播源-1920x1080
海南卫视,http://49.79.3.119:8890/rtp/239.49.8.212:6000$江苏电信组播源-1920x1080
河北卫视,http://112.255.69.58:6666/rtp/239.253.254.112:8000$山东联通组播源-1920x1080
河北卫视,http://123.113.187.204:8000/rtp/239.3.1.148:8072$组播源-1920x1080
河北卫视,http://123.157.31.182:7912/rtp/233.50.201.140:5140$浙江联通组播源-1920x1080
河北卫视,http://114.240.224.31:3000/rtp/239.3.1.148:8072$北京联通组播源-1920x1080
河北卫视,http://49.79.3.119:8890/rtp/239.49.1.236:6000$江苏电信组播源-1920x1080
河南卫视,http://112.255.69.58:6666/rtp/239.253.254.190:8000$山东联通组播源-1920x1080
河南卫视,http://123.113.187.204:8000/udp/239.3.1.27:8128$订阅源-1920x1080
河南卫视,http://123.157.31.182:7912/rtp/233.50.201.144:5140$浙江联通组播源-1920x1080
河南卫视,http://114.240.224.31:3000/rtp/239.3.1.27:8128$北京联通组播源-1920x1080
河南卫视,http://49.79.3.119:8890/rtp/239.49.8.197:6000$江苏电信组播源-1920x1080
吉林卫视,http://112.255.69.58:6666/rtp/239.253.254.173:8000$山东联通组播源-1920x1080
吉林卫视,http://123.113.187.204:8000/rtp/239.3.1.240:8172$组播源-1920x1080
吉林卫视,http://123.157.31.182:7912/rtp/233.50.201.48:5140$浙江联通组播源-1920x1080
吉林卫视,http://114.240.224.31:3000/rtp/239.3.1.240:8172$北京联通组播源-1920x1080
吉林卫视,http://49.79.3.119:8890/rtp/239.49.8.187:6000$江苏电信组播源-1920x1080
江苏卫视,http://14.112.86.85:4022/rtp/239.77.0.126:5146$广东电信组播源-1920x1080
江苏卫视,http://112.255.69.58:6666/rtp/239.253.254.83:8000$山东联通组播源-1920x1080
江苏卫视,http://123.113.187.204:8000/udp/239.3.1.135:8028$订阅源-1920x1080
江苏卫视,http://123.157.31.182:7912/rtp/233.50.201.106:5140$浙江联通组播源-1920x1080
江苏卫视,http://114.240.224.31:3000/rtp/239.3.1.135:8028$北京联通组播源-1920x1080
江西卫视,http://112.255.69.58:6666/rtp/239.253.254.47:8000$山东联通组播源-1920x1080
江西卫视,http://123.113.187.204:8000/udp/239.3.1.123:8164$订阅源-1920x1080
江西卫视,http://123.157.31.182:7912/rtp/233.50.201.145:5140$浙江联通组播源-1920x1080
江西卫视,http://114.240.224.31:3000/rtp/239.3.1.123:8164$北京联通组播源-1920x1080
江西卫视,http://49.79.3.119:8890/rtp/239.49.8.185:6000$江苏电信组播源-1920x1080
辽宁卫视,http://112.255.69.58:6666/rtp/239.253.254.92:8000$山东联通组播源-1920x1080
辽宁卫视,http://123.113.187.204:8000/udp/239.3.1.210:8056$订阅源-1920x1080
辽宁卫视,http://123.157.31.182:7912/rtp/233.50.201.141:5140$浙江联通组播源-1920x1080
辽宁卫视,http://114.240.224.31:3000/rtp/239.3.1.210:8056$北京联通组播源-1920x1080
辽宁卫视,http://49.79.3.119:8890/rtp/239.49.8.173:6000$江苏电信组播源-1920x1080
内蒙古卫视,https://livestream-bt.nmtv.cn/nmtv/2314general.m3u8?txSecret=35f2dd39972cede5222c6bd2c0efe24b&txTime=77395680$订阅源-1920x1080
内蒙古卫视,http://123.113.187.204:8000/udp/239.3.1.43:8176$订阅源-1920x1080
内蒙古卫视,http://123.157.31.182:7912/rtp/233.50.201.148:5140$浙江联通组播源-1920x1080
内蒙古卫视,http://114.240.224.31:3000/rtp/239.3.1.43:8176$北京联通组播源-1920x1080
内蒙古卫视,http://49.79.3.119:8890/rtp/239.49.1.240:6000$江苏电信组播源-1920x1080
宁夏卫视,http://123.113.187.204:8000/udp/239.3.1.46:8124$订阅源-1920x1080
宁夏卫视,http://123.157.31.182:7912/rtp/233.50.201.57:5140$浙江联通组播源-1920x1080
宁夏卫视,http://114.240.224.31:3000/rtp/239.3.1.46:8124$北京联通组播源-1920x1080
宁夏卫视,http://49.79.3.119:8890/rtp/239.49.1.237:6000$江苏电信组播源-1920x1080
宁夏卫视,http://183.66.15.138:4070/rtp/235.254.198.45:1456$重庆电信组播源-1920x1080
青海卫视,http://112.255.69.58:6666/rtp/239.253.254.195:8000$山东联通组播源-1920x1080
青海卫视,http://123.113.187.204:8000/udp/239.3.1.44:8184$订阅源-1920x1080
青海卫视,http://123.157.31.182:7912/rtp/233.50.201.65:5140$浙江联通组播源-1920x1080
青海卫视,http://114.240.224.31:3000/rtp/239.3.1.44:8184$北京联通组播源-1920x1080
青海卫视,http://49.79.3.119:8890/rtp/239.49.1.53:6000$江苏电信组播源-1920x1080
山东卫视,http://112.255.69.58:6666/rtp/239.253.254.78:8000$山东联通组播源-1920x1080
山东卫视,http://123.113.187.204:8000/udp/239.3.1.209:8052$订阅源-1920x1080
山东卫视,http://123.157.31.182:7912/rtp/233.50.201.105:5140$浙江联通组播源-1920x1080
山东卫视,http://114.240.224.31:3000/rtp/239.3.1.209:8052$北京联通组播源-1920x1080
山东卫视,http://49.79.3.119:8890/rtp/239.49.8.146:6000$江苏电信组播源-1920x1080
山西卫视,http://123.113.187.204:8000/udp/239.3.1.42:8172$订阅源-1920x1080
山西卫视,http://123.157.31.182:7912/rtp/233.50.201.51:5140$浙江联通组播源-1920x1080
山西卫视,http://114.240.224.31:3000/rtp/239.3.1.42:8172$北京联通组播源-1920x1080
山西卫视,http://49.79.3.119:8890/rtp/239.49.1.51:6000$江苏电信组播源-1920x1080
山西卫视,http://183.66.15.138:4070/rtp/235.254.198.41:1440$重庆电信组播源-1920x1080
陕西卫视,http://123.113.187.204:8000/udp/239.3.1.41:8140$订阅源-1920x1080
陕西卫视,http://123.157.31.182:7912/rtp/233.50.201.59:5140$浙江联通组播源-1920x1080
陕西卫视,http://114.240.224.31:3000/rtp/239.3.1.41:8140$北京联通组播源-1920x1080
陕西卫视,http://49.79.3.119:8890/rtp/239.49.1.248:6000$江苏电信组播源-1920x1080
陕西卫视,http://183.66.15.138:4070/rtp/235.254.198.40:1436$重庆电信组播源-1920x1080
四川卫视,http://112.255.69.58:6666/rtp/239.253.254.180:8000$山东联通组播源-1920x1080
四川卫视,http://123.113.187.204:8000/rtp/239.3.1.29:8288$组播源-1920x1080
四川卫视,http://123.157.31.182:7912/rtp/233.50.201.139:5140$浙江联通组播源-1920x1080
四川卫视,http://114.240.224.31:3000/rtp/239.3.1.29:8288$北京联通组播源-1920x1080
四川卫视,http://49.79.3.119:8890/rtp/239.49.8.184:6000$江苏电信组播源-1920x1080
深圳卫视,http://14.112.86.85:4022/rtp/239.77.0.130:5146$广东电信组播源-1920x1080
深圳卫视,http://112.255.69.58:6666/rtp/239.253.254.91:8000$山东联通组播源-1920x1080
深圳卫视,http://123.113.187.204:8000/udp/239.3.1.134:8020$订阅源-1920x1080
深圳卫视,http://123.157.31.182:7912/rtp/233.50.201.101:5140$浙江联通组播源-1920x1080
深圳卫视,http://114.240.224.31:3000/rtp/239.3.1.134:8020$北京联通组播源-1920x1080
三沙卫视,http://123.113.187.204:8000/rtp/239.3.1.155:4120$组播源-1920x1080
三沙卫视,http://114.240.224.31:3000/rtp/239.3.1.155:4120$北京联通组播源-1920x1080
三沙卫视,http://114.95.156.205:4022/rtp/239.45.1.82:5140$上海电信组播源-1920x1080
三沙卫视,http://114.252.236.205:8000/rtp/239.3.1.155:4120$北京联通组播源-1920x1080
三沙卫视,http://114.252.238.87:8000/udp/239.3.1.155:4120$订阅源-1920x1080
天津卫视,http://112.255.69.58:6666/rtp/239.253.254.89:8000$山东联通组播源-1920x1080
天津卫视,http://123.113.187.204:8000/udp/239.3.1.141:1234$订阅源-1920x1080
天津卫视,http://123.157.31.182:7912/rtp/233.50.201.104:5140$浙江联通组播源-1920x1080
天津卫视,http://114.240.224.31:3000/rtp/239.3.1.141:1234$北京联通组播源-1920x1080
天津卫视,http://49.79.3.119:8890/rtp/239.49.8.148:6000$江苏电信组播源-1920x1080
西藏卫视,http://123.113.187.204:8000/udp/239.3.1.47:8164$订阅源-1920x1080
西藏卫视,http://123.157.31.182:7912/rtp/233.50.201.70:5140$浙江联通组播源-1920x1080
西藏卫视,http://114.240.224.31:3000/rtp/239.3.1.47:8164$北京联通组播源-1920x1080
西藏卫视,http://49.79.3.119:8890/rtp/239.49.1.139:6000$江苏电信组播源-1920x1080
西藏卫视,http://183.66.15.138:4070/rtp/235.254.198.46:1460$重庆电信组播源-1920x1080
新疆卫视,http://114.240.224.31:3000/rtp/239.3.1.48:8160$北京联通组播源-1920x1080
